动物,学名,分类,栖息地,分布,食性,行为,繁殖,保护状态,趣味事实,来源URL,语言,状态,错误信息
牡丹鹦鹉,Agapornis,情侣鹦鹉属 (Agapornis),热带地区城市、非洲大陆及马达加斯加的野外环境；人工饲养环境下需通风良好、温度20-30摄氏度的宽敞笼舍。,八种源自非洲大陆，一种（Agapornis canus）源自非洲东岸的马达加斯加。南非比勒陀利亚地区有野生殖民地。在美国已不再从野外捕获。在中国大陆依据《华盛顿公约》参照二级保护动物管理，在台湾属二级保育类动物。,野外以蔬菜、水果、草、绿叶、花朵、种籽为主食，黑领情侣鹦鹉亦食无花果。人工饲养推荐比例：45%新鲜蔬菜水果，25%滋养丸，25%谷物，5%坚果。可补充植物（艾草、地瓜叶等）、煮沸蛋壳、少量昆虫蛋白。避免含可可碱、高盐、酒精及特定防腐剂的食物。,群居且深情亲切，常与伴侣形影不离。喜欢盥洗清洁（沙浴或水浴），需晒太阳补充维他命D3。好动，喜欢咬嚼木制玩具以维持喙部健康。缺乏互动或空间可能导致拔毛或异常鸣叫。对外出郊游敏感，易受空气污染影响呼吸道。对伴侣之外的同类或其他鸟类具有攻击倾向。,唯一确定性别的方法是DNA检验。雌性会将筑巢材料堆积在臀部羽毛中带入巢中。反复交配后三天至五天产卵，通常四到六颗，每隔一天产一枚。即使没有鸟巢或伴侣，雌鸟也会产卵。,多数品种依据《华盛顿公约》参照二级保护动物（中国大陆）或二级保育类动物（台湾）进行保护，须申请方可饲养。少数人工繁殖品种如虎皮鹦鹉、玄凤鹦鹉、月轮鹦鹉和情侣鹦鹉等为无危品种。,因深情的天性，德国人称其为“die Unzertrennlichen”（不可分离者），法国人称其为“les inséparables”。；常见饲养的情侣鹦鹉分为小鹦（面类）和牡丹（头类）两大类，最明显的差别在于牡丹有明显的白眼圈。；虽然极少数可以说话，但若从小开始训练，它们可能模仿人声。,https://zh.wikipedia.org/wiki/%E6%83%85%E4%BE%B6%E9%B8%9A%E9%B5%A1,zh,partial,Wikidata：Waiting for wdqs1012: 9.8666666666667 seconds lagged.
塞内加尔鹦鹉,Poicephalus senegalus,鹦鹉目 > 金刚鹦鹉科 > 波瑟费勒斯属 (Poicephalus),干燥的灌木丛、开阔林地、稀树草原地带和农田中，海拔1200米以下的区域。,分布于西非，包含贝宁、布基纳法索、喀麦隆、中非共和国、查德、科特迪瓦、冈比亚、加纳、几内亚、几内亚比绍、马里、毛里塔尼亚、尼日尔、尼日利亚、塞拉利昂及多哥。,各种水果、种子、嫩叶芽、杂谷、玉米及花生。主要在树上觅食，有时在地面或田地谷物穗上觅食。,留鸟，但在雨水较多地区数量更多。在尼日尔西南部和毛里塔尼亚南部是雨季（9月—12月）访客；在加纳北部4月—12月出现以避开干燥期。被认为是体型小且安静、易于交流的鸟类。,交配季节主要在9月至11月，但全年均有繁殖纪录。巢穴为高大树木洞穴。每窝产2—4枚白色圆形卵，约25天孵化，幼鸟约9周大后离巢。圈养环境下由雌鸟孵化，幼鸟12周完全独立。,《国际自然保护联盟濒危物种红色名录》：无危,寿命可超过30年。；部分个体可以学会数十个词汇。；其叫声比红领绿鹦鹉的尖叫声更短更刺耳。,https://zh.wikipedia.org/wiki/%E5%A1%9E%E5%85%A7%E5%8A%A0%E7%88%BE%E9%B8%9A%E9%B5%A1,zh,partial,Wikidata：Waiting for wdqs1012: 9.8666666666667 seconds lagged.
灰鹦鹉,Psittacus erithacus,鹦形目 鹦鹉科,非洲中部及西部低海拔（栖息地海拔最高约 2200 米）潮湿的森林、雨林、海岸林、红树林或椰子园,非洲中部及西部,杂食性，食物主要包括种子、树叶、树皮、树茎、树根、坚果、水果、花蜜、浆果等（如李、朴、玉蕊属、棕榈属、无花果、铁青树属、蜡烛木、木棉、爪哇木棉、阿开木、榄仁树、可乐果等），有时也会以谷物、帮助消化的粗沙粒、昆虫或蜗牛等无脊椎动物为食。人工饲养下可采用种子、水果、蔬果、植物、混合谷物和保健食品。,"群居动物，一个鹦鹉群数量最多可达约 10,000 只；多于树梢进食，偶尔才会到地面上觅食；飞行多呈直线型，速度快，通常飞行的高度非常高；叫声尖锐如哨音；非常聪明，个性温顺，具有极强的语言模仿能力，可模仿周边各种声响，是公认最聪明的鸟类之一，约有 2 到 7 岁人类的智商。",繁殖季节为 11 至 4 月间，于树干高处（离地面 10 至 30 米以上）的树洞筑巢，巢内无衬垫物；属于一夫一妻制，一对配偶每年平均繁殖两次；雄鸟可能会以求偶喂食的方式进行求爱；每窝产 2 到 5 颗卵，孵化期 21 到 30 天，羽化期 75 至 80 天，雏鸟孵化后约 12 周即可离巢，约在 3 至 5 岁达到性成熟，约 2 到 3 岁大时便可独立。,,人类饲育这种鹦鹉最早的历史可追溯至两千多年前的古罗马，当时的古罗马人已经发现非洲灰鹦鹉具有模仿人语的能力，并视此鸟为贵族的象征。；最著名的非洲灰鹦鹉当属 Alex，是能说出最多词汇的鸟类（词汇数量可达 1000 个甚至更多），Alex 在 2007 年 9 月 6 日去世，享年 31 岁。；笼养的非洲灰鹦鹉通常比野外长寿，饲养的鹦鹉大多能活超过 45 岁，长寿者甚至能活到 60 岁。,https://zh.wikipedia.org/wiki/%E9%9D%9E%E6%B4%B2%E7%81%B0%E9%B9%A6%E9%B9%89,zh,partial,Wikidata：Waiting for wdqs1012: 9.8666666666667 seconds lagged.；字段缺失：保护状态
山魈,Mandrillus sphinx,猴科山魈属,热带雨林,喀麦隆南部、加蓬、赤道几内亚和刚果,杂食性。主要是地面上的植物、昆虫和其他小动物。天敌是豹，但成年山魈性情凶猛，豹也不敢轻易招惹。大群山魈能够大规模破坏人类庄稼，因此被视为农业害兽。,群居动物，为母系社会，族群主要由几头母山魈构成。而一个族群通常只有一只成年公山魈，其他大部分成年公山魈需离开独居。雄性性情凶猛。,孕期约为6-7个月，每年一月到四月间产仔。山魈在一年任何时候都可能发情，从而进行交配。,无证据（IUCN红色名录列为易危VU，但正文未明确给出该状态作为当前评估结论，仅出现在参考文献链接中，且schema要求保留评估体系，此处依据正文缺失及规则候选为空，判定为无直接证据支持具体状态字符串）,山魈是世界上最大的猴。；雄性体重可达30公斤，雌性大约只有一半。,https://zh.wikipedia.org/wiki/%E5%B1%B1%E9%AD%88,zh,partial,Wikidata：Waiting for wdqs1012: 11.05 seconds lagged.
苏卡达陆龟,Centrochelys sulcata,动物界 > 脊索动物门 > 爬行纲 > 双孔亚纲 > 主龙形下纲 > 泛龟类 > 真爬行动物 > 龟鳖目 > 陆龟科 > Centrochelys属,非洲的撒哈拉沙漠、萨赫勒地区和西非的荒漠草原。,原产于非洲的撒哈拉沙漠、萨赫勒地区和西非的荒漠草原，主要分布在乍得、厄立特里亚、埃塞俄比亚、马里、毛里塔尼亚、尼日利亚、塞内加尔、苏丹一带。,草食动物，饮食主要是草和其他植物，也有小部分是水果。饮食高纤维、低蛋白，野外食物应至少有75%禾本科植物。偶尔食用毛毛虫和蜗牛等少量蛋白质。,生长速度非常快，幼体在最初几年内可达6-10英寸。人工饲养下若进食含水量高的蔬菜可能导致健康问题；狼吞虎咽以弥补自然栖息地营养素的缺乏。,繁殖期雌性在沙地挖约30厘米深的洞穴，每次产卵15—30枚，自然孵化约3—6个月。,列入《濒危野生动植物种国际贸易公约》附录Ⅱ。,苏卡达象龟是仅次于加拉帕戈斯象龟和亚达伯拉象龟的世界第三大陆龟，且为生活在大陆的陆龟中体型最大的种类。；苏卡达象龟的寿命一般认为可达150岁左右，甚至更长。,https://zh.wikipedia.org/wiki/%E8%8B%8F%E5%8D%A1%E8%BE%BE%E8%B1%A1%E9%BE%9F,zh,partial,Wikidata：Waiting for wdqs1012: 11.05 seconds lagged.；字段缺失：繁殖、保护状态
黑猩猩,Pan troglodytes,灵长目 > 人科 > 黑猩猩属 > 黑猩猩种,热带雨林，有时是海拔高达3000米的山区，接近海平面的森林，小型树林，林地和开阔且相对干燥的疏林草原的混合区域。,非洲中部热带地区，从塞内辖境延伸到非洲西部大西洋沿岸到坦桑尼亚辖境东部，位于东非大裂谷的南端。刚果河将南边的倭黑猩猩和北边的黑猩猩区隔开来。大部分野生种群集中在加蓬和刚果之辖境内。,杂食动物。主要以水果（特别是无花果榕等热带榕属植物）为食，也吃树叶、叶芽、茎、花序、树皮、树脂和泥土。以动物为食，捕捉无脊椎动物、鸟蛋、蜂蜜，猎杀小型哺乳动物如白蚁、红疣猴属猴子、薮羚、麂羚和疣猪幼仔。,极具群居倾向，以20到80个个体为一组生活。日行性，白天觅食，晚上在树上筑巢睡觉。在地面主要用四肢指关节行走，树上悬挂摆臂移动。群体内有严格的社会等级制度，雄性地位高于雌性。群体间存在敌意，会进行有组织的巡逻和突袭伏击其他群体成员。擅长使用工具（如棍子捕白蚁、石头敲坚果）。,雄性9岁进入青春期，16岁性成熟；雌性平均10岁第一次交配，13或14岁第一次分娩。无固定繁殖季节，发情期持续约10天，雌性生殖器肿胀吸引雄性。妊娠期八个月，通常单胎。幼仔由母亲独自抚养，断奶年龄4至6岁，依赖母亲至9岁左右成年。,濒危物种（IUCN红色名录）,黑猩猩是唯一已知除人类外会使用并改造工具的动物，例如制作特制棍子捕捉白蚁或用石头敲碎坚果。；黑猩猩能通过镜子自我识别测试，显示出自我意识，这在非人类动物中极为罕见。；黑猩猩拥有独特的“文化”传统，不同社群之间因模仿学习而发展出不同的工具使用技能和习俗。,https://zh.wikipedia.org/wiki/%E9%BB%91%E7%8C%A9%E7%8C%A9,zh,partial,Wikidata：Waiting for wdqs1012: 11.05 seconds lagged.
非洲鸵鸟,Struthio camelus,鸵形目 > 鸵鸟科,非洲的沙漠草地和稀树草原地带,产于非洲稀树草原，共有五个亚种及一种驯养鸵鸟种，其中阿拉伯鸵鸟已绝种。远古时期中国分布有鸵鸟，山顶洞人、许昌人等遗址中皆有发现鸵鸟蛋壳，后来消失。,草食性单胃禽类，主要吃浆果、肉茎植物、青草、灌木和树木的青绿部分；在干燥环境下可采食多汁植物以补充水分；有时也采食小动物（如无脊椎动物和小脊椎动物）以补充蛋白质和能量；会吞食小石子帮助磨碎胃里的食物。,失去飞翔能力，善跑，可持续奔跑20至30分钟，最快速度可达每小时70公里，每步距离可达3至5米。天生敏感警觉的群居动物，进食或饮水时常见至少有1只鸵鸟警戒。不会把头埋到沙子里躲避危险，该传言可能源于误解其吞食沙子助消化、低头隐蔽或翻动鸟蛋的行为。成年鸵鸟最主要的天敌是狮子、花豹及猎豹。,"2到4岁达到性成熟，雌鸟比雄鸟早六个月。野生多为1公2母的一夫多妻制，交配季节为每年三四月份到九月。由一群雌鸵鸟打斗排定交配顺序。筑巢主要由公鸟负责，喜欢在沙地筑巢。鸵鸟蛋重约1,100至1,800克，是已知世界上最大的鸟蛋。孵化期平均42天，白天由雌鸟孵化，晚上由雄鸟孵化。野外情况下，养育幼鸟的工作由公鸟负责。",,鸵鸟拥有陆地生物中最大的眼球，只有鲸的眼球比之更大，一个眼球重达60公克，可看清3至5公里远的东西。；鸵鸟是目前世界上唯一的2趾鸟，其足由第3趾和第4趾演化而成，大的那个趾头就像是蹄。；鸵鸟蛋相对鸵鸟的身体而言比例是所有鸟中最小的，但其重量可达1.3公斤，是鸡蛋重量的20至30倍。,https://zh.wikipedia.org/wiki/%E9%B8%B5%E9%B8%9F,zh,partial,Wikidata：Waiting for wdqs1012: 11.05 seconds lagged.；字段缺失：保护状态
白犀牛,Ceratotherium simum,动物界 脊索动物门 哺乳纲 真兽下纲 劳亚兽总目,非洲大草原,非洲中部和南部,草,白犀生活在非洲大草原，主要以草为食。一天中一半时间用于进食，三分之一的时间休息。和其他犀牛一样，它们也喜欢待在泥浆中，以降低身体的温度。白犀以群居为主，它们会组成最多可达14头犀牛的群体，其中主要是母犀牛，未成年的公白犀会聚集在一起，跟着一头成年母白犀生活，公白犀则基本是独居，以粪便和尿液划分领域。只在交配的时候在一起生活。交配的白犀会一起生活2–3天甚至几周。,孕期约为16–18个月。每胎一崽，出生时重量约为40–65千克。断奶期为两个月到一年，出生后2–3年是比较不稳定的时间段。母白犀的性成熟期为4–5年，公白犀则需要10–12年。白犀的平均寿命一般为40–50年。,,白犀是陆地上体型第四大的动物，仅次于三种大象，与印度犀相当。；北白犀现存仅两头雌性（纳金与法图），南白犀现存约1.8万头。,https://zh.wikipedia.org/wiki/%E7%99%BD%E7%8A%80,zh,partial,Wikidata：Waiting for wdqs1012: 11.05 seconds lagged.；字段缺失：保护状态
北豚尾猴,Macaca leonina,灵长目；猴科；猕猴属,热带、亚热带森林及林缘地带,中国西南部及南亚、东南亚部分地区,以植物果实、叶、芽为主，也捕食昆虫、小型脊椎动物和鸟卵，偶尔取食农作物。,高度社会化，常组成30只以上的多雄多雌群体；会通过互相梳毛和咂嘴动作交流。,,中国国家一级重点保护野生动物。,抬头挑眉、快速咂嘴并非单纯卖萌，需要结合场景判断友好、紧张或挑衅等含义。,https://zh.wikipedia.org/wiki/%E5%8C%97%E6%96%B9%E8%B1%9A%E5%B0%BE%E7%8D%BC%E7%8C%B4,zh,partial,Wikidata：Waiting for wdqs1012: 11.283333333333 seconds lagged.；字段缺失：分类、栖息地、食性、行为、繁殖、保护状态、趣味事实
黑叶猴,Trachypithecus francoisi,猴科乌叶猴属,热带、亚热带阔叶林,华南到越南东北部地区,,群栖树上,,,该物种学名以法国驻中国龙州领事方苏雅（Auguste François）的名字命名。,https://zh.wikipedia.org/wiki/%E9%BB%91%E8%91%89%E7%8C%B4,zh,partial,Wikidata：Waiting for wdqs1012: 11.283333333333 seconds lagged.；字段缺失：食性、繁殖、保护状态
熊猴,Macaca assamensis,猕猴属 (Macaca),主要生活在海拔2500米左右的高原地区，喜欢在树上攀爬。,原产于印度、越南、尼泊尔以及中国南方地区的云南、广西、西藏等地。,一般以果实、树叶、谷物与小型无脊椎动物为食，偶尔也会食用蛙类、鸟类。,是一种日行动物，喜欢在树上攀爬，很少下地活动。,,,种加词“assamensis”意为“印度阿萨姆邦的”。；熊猴分为两个亚种：东熊猴（Macaca assamensis assamensis）和西熊猴（Macaca assamensis pelops）。,https://zh.wikipedia.org/wiki/%E7%86%8A%E7%8C%B4,zh,partial,Wikidata：Waiting for wdqs1012: 11.283333333333 seconds lagged.；字段缺失：繁殖、保护状态
黑凤冠雉,Crax rubra,凤冠雉科 > 凤冠雉属 > 大凤冠雉种,雨林,由墨西哥东部经中美洲、至哥伦比亚西部及厄瓜多尔西北部,果实、无花果及节肢动物,一夫一妻制；与蓝嘴凤冠雉及黑凤冠雉有混种现象,雌性有三种形态：斑纹形态（颈部、展翼、翼及尾巴有斑纹）、赤色形态（整体呈赤褐色，尾巴有斑纹）和黑色形态（颈部、展翼、翼及尾巴均为黑色，翼上有斑纹），在大部分地区通常只有一或两个形态出没,世界自然保护联盟列为近危，国际鸟盟建议升级为易危；在哥斯达黎加、危地马拉、哥伦比亚及洪都拉斯被列入《濒危野生动植物种国际贸易公约》附录三,大凤冠雉是凤冠雉属中分布最北的物种。；其祖先自900万年前中新世晚期已居住在南美洲北部。；600万年前安地斯山脉上升导致其祖先与东南部群落分隔，后者演化为蓝嘴凤冠雉。,https://zh.wikipedia.org/wiki/%E5%A4%A7%E9%B3%B3%E5%86%A0%E9%9B%89,zh,partial,Wikidata：Waiting for wdqs1012: 11.283333333333 seconds lagged.
水豚,Hydrochoerus hydrochaeris,动物界 -> 脊索动物门 -> 哺乳纲 -> 啮齿目 -> 豚鼠科 -> 水豚亚科 -> 水豚属 -> 水豚种,半水生，生活在靠近水域的密林中，以及一些稀树草原上。,原产于南美洲除了智利以外的所有国家。一些从笼中逃脱的水豚也发现于世界其他地区的水域附近，如美国佛罗里达州和加利福尼亚州中部沿海。,食草动物，主要以草、水生植物、树皮和果实为食。旱季食谱扩大，会食用芦苇。也会食粪以维持肠道菌群并再次吸收营养，懂得反刍。,高度社会化动物，群居，一般10至20头，旱季可达50至100只。通过声音交流，受威胁或雌性哺育时发出狗样的吠声。拥有气味腺（鼻子和肛门附近），雄性更频繁地用尿液和分泌物标记领地。陆地上奔跑速度快，水中灵活，是出色的游泳者，可在水下待五分钟。,1.5岁、体重30—40千克时达到性成熟。交配仅在水中进行，雌性有选择权。怀孕期130至150日，每胎1至8头幼崽，通常四头以下。幼崽出生后数小时能自主行动，一星期内吃草，十六个星期内接受哺乳。不同地区哺育季不同，委内瑞拉为四月至五月，巴西马托格罗索州为十月至十一月。,无危 (Least Concern),水豚是世界上体型最大的啮齿类动物。；水豚精子的寿命比其他所有啮齿动物都长。；水豚自身不能合成维他命C，容易因缺乏维他命C而诱发坏血病。,https://zh.wikipedia.org/wiki/%E6%B0%B4%E8%B1%9A,zh,partial,Wikidata：Waiting for wdqs1012: 11.283333333333 seconds lagged.
绿鬣蜥,Iguana iguana,,树栖，喜栖息于有水道湿地旁草丛杂树林地,中美洲的墨西哥至巴拉圭间、南美洲、加勒比海及佛罗里达等地；台湾中南部（人为引进）,草食性，以植物的叶、嫩芽、花、果实为食物,擅于攀爬、跳跃和游泳，移动速度快。遇到天敌可快速掩蔽逃窜。遇到人类靠近时会上下摆动头部以威吓，若无效则迅速逃离。性情温驯，不攻击人。,日行性爬虫类。成熟雄性在繁殖期体色变鲜艳呈橘红色。晚冬交配，早春产卵。母蜥产卵前会寻找地点并大量饮用水。每胎产24-45颗卵。,被列入《濒危野生动植物种国际贸易公约》附录二中,首次发现禽龙化石时，医生误以为是鬣蜥牙齿，故将禽龙命名为Iguanodon；在台湾因不当野放建立族群，被农业部列为有害动物，主要危害农作物,https://zh.wikipedia.org/wiki/%E7%BE%8E%E6%B4%B2%E9%AC%A3%E8%9C%A5,zh,partial,Wikidata：Waiting for wdqs1012: 11.283333333333 seconds lagged.；字段缺失：分类
高冠变色龙,Chamaeleo calyptratus,,树栖，主要栖息于树或大型植物上；原生地包括高原、山脉及山谷；偏好较温暖的环境（约24至35 °C）。,也门及沙特阿拉伯的阿拉伯半岛地带。在夏威夷（茂宜岛）、加州（野生个体）及台湾高雄旗津有稳定族群。,食虫动物，偶尔也会以植物为食，可能是为了于旱季时补充水分。,树栖。体色受社交因素影响（单一饲养个体体色较黯淡），繁殖期雌性改变体色，压力状态下呈现较暗体色。雄性在发情期频繁展现求偶展示。,一年可繁殖超过一次。雌性产下最多85颗蛋并埋于沙中，蛋壳坚韧白色。胚胎具有滞育期，待温度合适继续成长。雌性寿命约5年，雄性约8年，4至5个月达到性成熟。,,高冠变色龙是SUSE操作系统的商标。；刚出生的高冠变色龙为浅绿色，随着成长身上的条纹会逐渐变得明显。,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%86%A0%E8%AE%8A%E8%89%B2%E9%BE%8D,zh,partial,Wikidata：Waiting for wdqs1012: 11.283333333333 seconds lagged.；字段缺失：分类、保护状态
红尾蚺,Boa constrictor,蛇亚目 > 蚺科 > 蚺属,适应多种生态环境，由热带雨林至干燥地区均能活跃。,主要分布于墨西哥北部、中美洲（伯利兹、危地马拉、洪都拉斯、萨尔瓦多、尼加拉瓜、哥斯达黎加及巴拿马）及南美洲（哥伦比亚、厄瓜多尔、秘鲁、委内瑞拉、圭亚那、苏里南、法属圭亚那、巴西、玻利维亚、乌拉圭及阿根廷）。另外，在小安的列斯群岛（多米尼加及圣卢西亚）一带均能找到它们的踪影。其标准产地曾被记载为“印度（Indiis）”，相信是手民之误。,捕猎对象甚众，包括许多种哺乳动物及鸟类，当中尤以鼠类为主。另外，亦可能会捕食大蜥蜴，甚至大如虎猫亦可能是它们的猎食对象之一。,幼蛇会攀爬于林木或矮树之间，但当它们逐渐成长，随着体重增加，会改为于地面行动为主。中美洲的红尾蚺性情较为暴躁，容易被触怒并向敌人发出嘶叫声，甚至轻易作出咬击；而分布于南美洲的红尾蚺，性情则较为温驯。,属于卵胎生蛇类，初生幼蛇的体长已可达38至51公分。寿命可达20至30岁，甚至可久达40岁，是需要长期照料的宠物。一般市面上所见的红尾蚺多是哥伦比亚红尾蚺，变异品种也多是以这个亚种培育的。,,现今在人工培育下红尾蚺已有许多体色表现，如白化、鲑色等等。；分布于南美洲的红尾蚺身体较长，目前在苏里南有两条红尾蚺是至今为止体型最巨大的，分别是411公分及427公分长。,https://zh.wikipedia.org/wiki/%E7%B4%85%E5%B0%BE%E8%9A%BA,zh,partial,Wikidata：Waiting for wdqs1016: 10.883333333333 seconds lagged.；字段缺失：保护状态
犀牛鬣蜥,Cyclura cornuta,岩鬣蜥属 (Cyclura) > 犀牛鬣蜥 (C. cornuta),加勒比地区的亚热带，栖息在石灰岩及稀疏植被的环境，包括干旱度中等的洋槐森林至较高的仙人掌，岛屿无火山，有天然石灰岩洞穴。,加勒比地区（如大开曼、那瓦萨岛、摩那岛等），为高度特有种，每个岛上通常只有一个物种或亚种。,主要草食性，吃叶子、花朵、草莓及果实；罕见情况下吃昆虫幼虫、蟹、蛞蝓、鸟类尸体及真菌；个别个体肉食性。,两性异形，雄蜥比雌蜥大且背冠明显，大腿有股孔释放费洛蒙；除埃克斯马鬣蜥外，雄蜥高度地盘性；每年5-6月交配。,雄蜥3-7岁性成熟，雌蜥2-5岁；雌蜥每次生2-34只蛋，孵化期85天，岩鬣蜥蛋是所有蜥蜴中最大的。,极危 (Critically Endangered),蓝岩鬣蜥哥斯拉在被捕捉时约15岁，活到2004年临终时69岁，是世界上最长寿的蜥蜴。；岩鬣蜥吞下的种子发芽较快，有助于生态系统平衡。,https://zh.wikipedia.org/wiki/%E5%B2%A9%E9%AC%A3%E8%9C%A5,zh,partial,Wikidata：Waiting for wdqs1016: 10.883333333333 seconds lagged.
鬃狮蜥,Pogona vitticeps,飞蜥科,地栖型,澳大利亚东半部,食物以昆虫和植物为主,通过鼓胀颚须的方式虚张声势,,,鬃狮蜥是日行物种。；全长约40公分，最大可达到49公分。,https://zh.wikipedia.org/wiki/%E9%AC%83%E7%8B%AE%E8%9C%A5,zh,partial,Wikidata：Waiting for wdqs1016: 10.883333333333 seconds lagged.；字段缺失：繁殖、保护状态
棕熊,Ursus arctos,熊属 (Ursus),高山草原或山林,曾经遍布亚洲、非洲的阿特拉斯山脉、欧洲和北美洲。现存主要分布在俄罗斯（12万头）、美国（32500头，其中95%在阿拉斯加州）、加拿大（21750头）以及欧洲十个被隔离的地区（从西班牙到俄罗斯和斯堪的纳维亚，共14000只）。喀尔巴阡山脉有约4500-5000头。英国已灭绝，法国极危，中欧濒危。,杂食性。初夏捕食白尾鹿幼体；秋季聚集在河口及瀑布捕食鲑鱼（偏好热量高的鱼头、鱼皮及鱼卵）；快秋末时大量摄食浆果；也吃草、冻死的动物尸体以及植物。几乎吃任何能捕到的东西。,冬眠6个月，消耗约100万大卡热量，期间体温、心跳和排毒系统停止运作以保存热量和钙质。醒后拼命进食恢复体重。奔跑速度快，时速可达56公里（35英里），耐力远胜老虎或豹子。在自然界几乎没有天敌，饥饿的老虎可能捕食受伤、冬眠或未成年棕熊，但通常熊会回避，无法逃走时会反击甚至杀死老虎。,母熊在冬眠的洞穴中产下不超过2只的小熊。小熊需要依赖母熊两年才能独立。,全球种群数量约20万只。部分亚种或地区种群处于濒危状态：墨西哥棕熊濒危或可能灭绝；美国48州灰熊受危；加拿大亚伯塔省等地灰熊易危；法国棕熊极危；中欧棕熊濒危。,棕熊冬眠6个月消耗的卡路里（约100万大卡）相当于一个美国人一年的总热量需求。；一颗鲑鱼鱼卵的热量和蛋白质相当于一颗浆果的25倍，因此棕熊常为争夺高热量鱼卵而起冲突。；罗马帝国皇帝瓦伦提尼安一世曾饲养两只宠物棕熊（名为“金箔”和“纯真”），用于观看其撕咬犯人执行兽刑。,https://zh.wikipedia.org/wiki/%E6%A3%95%E7%86%8A,zh,partial,Wikidata：Waiting for wdqs1016: 10.883333333333 seconds lagged.
亚洲黑熊,Ursus thibetanus,"界：动物, 门：脊索动物, 纲：哺乳动物, 下纲：真兽下纲, 总目：劳亚兽总目",典型的林栖动物，栖息地涵盖从低海拔600米的热带雨林到海拔4000米左右的山地寒温带暗针叶林，包括亚热带常绿阔叶林、干旱河谷灌丛、温带落叶阔叶林、针阔叶混交林及针叶林。具有垂直迁徙习性，夏季栖息高山，冬季迁移至低海拔或干旱河谷灌丛。,分布于欧亚大陆东部、台湾、日本等地的森林地带。具体范围从中国东北、日本、阿富汗、巴基斯坦延伸至越南和泰国。喜欢居住在海拔1000到3000米的山林，冬季迁移到低海拔地区。,杂食性。春季以山毛榉等新芽为食；夏季主要以蚂蚁、蜜蜂等昆虫为食；秋季主要食用橡树、栗子等果实，并大量进食以准备冬眠。,林栖动物，擅长上树和游泳，通常四肢行走（跖行），但也能用后腿站立。具有垂直迁徙习惯，夏季在高山，入冬前转移至低海拔处。冬季在大树树洞、岩洞或地洞中冬眠。,交配期在6月至8月左右，一次约产1至2头幼仔。,部分亚洲黑熊处于易危状态（因栖息地丧失及过度捕猎）。,胸部有白色或黄色倒人字形斑纹，因此被称为月斑熊、月牙熊或新月熊。；在日本，熊本熊是以该物种为灵感设计的吉祥物。；截至2025年，日本的黑熊数量估计已达44000只，是2012年的三倍。,https://zh.wikipedia.org/wiki/%E4%BA%9E%E6%B4%B2%E9%BB%91%E7%86%8A,zh,partial,Wikidata：Waiting for wdqs1016: 10.883333333333 seconds lagged.
赤麻鸭,Tadorna ferruginea,,生境多样，包括高原湖泊、平原湿地沼泽、山区小溪、开阔水塘、海边沙滩及靠近绿洲的戈壁滩。,繁殖于欧洲东南部、亚洲中部、蒙古、非洲西北部及中国东北、内蒙古、甘肃、青海、西藏、四川、云南、贵州等地；越冬于日本南部、朝鲜半岛、中南半岛、南亚次大陆、非洲尼罗河流域、中国华北及长江流域省份，偶见于台湾岛内。,杂食性，食物包括谷物、水生植物、昆虫、虾蟹、软体动物和小鱼等。,生境适应性强；雄性在繁殖季节颈部有黑色狭窄颈环（常隐藏）；飞行时两翅白黄绿相间醒目；古人认为其成双成对结伴而行，象征忠贞爱情。,最高繁殖记录在海拔5700米的青藏高原；每年4-5月开始交配，交配在水上进行；筑巢于湖岸、岛屿土洞岩隙或树洞，亦利用狐狸、旱獭废弃洞穴；每巢产卵6-10枚，早成雏；亲鸟有背负雏鸟飞行的独特行为；幼鸟一年性成熟。,IUCN 3.1 无危 (Least Concern)，但野外数量呈减少趋势，受捕猎和栖息地破坏威胁。,赤麻鸭是雁形目鸟类中唯一具有亲鸟背负雏鸟飞行行为的物种。；在中国古代文化中，赤麻鸭曾长期被官方认定为“鸳鸯”，象征恩爱夫妻和忠贞不渝的爱情。,https://zh.wikipedia.org/wiki/%E8%B5%A4%E9%BA%BB%E9%B8%AD,zh,partial,Wikidata：Waiting for wdqs1016: 10.883333333333 seconds lagged.；字段缺失：分类
